Frame,Wheelset,Frame_Flat_Time,Frame_Climb_Time,Frame_Aero_St,Frame_Weight_St,Frame_Price,Frame_Type,Frame_Level,Wheel_Flat_Time,Wheel_Climb_Time,Wheel_Aero_St,Wheel_Weight_St,Wheel_Price,Wheel_Level,Flat_Time,Climb_Time
Van Rysel EDR,Shimano C40,3094.5,2960,2,3,326600,Standard,12,3073,2971.5,3,2,85300,12,3084.424294603406,2967.993377432459
Cervelo S3D,Shimano C40,3083.5,2972.5,3,2,468600,Standard,13,3073,2971.5,3,2,85300,12,3074.118739047849,2980.4933774324604
Giant TCR,Shimano C40,3091.5,2945.5,3,3,745500,Standard,14,3073,2971.5,3,2,85300,12,3081.415035344147,2953.4933774324586
Spec Allez Spr,Shimano C40,3083,2953,3,3,127800,Standard,14,3073,2971.5,3,2,85300,12,3071.7452822577297,2960.9933774324563
Cervelo P5,Shimano C40,2991,3003.5,4,1,710000,TT,15,3073,2971.5,3,2,85300,12,2967.470590899738,3011.4933774324295
Bridgestn SR9s,Shimano C40,3093,2937.5,2,4,511200,Standard,15,3073,2971.5,3,2,85300,12,3080.649603245387,2945.493377432454
Moots Vamoots,Shimano C40,3094.5,2975,2,2,852000,Standard,15,3073,2971.5,3,2,85300,12,3085.8934304058716,2982.9933774324622
Mosaic RT-1d,Shimano C40,3094.5,2975,2,2,852000,Standard,15,3073,2971.5,3,2,85300,12,3085.8934304058716,2982.9933774324622
Ventum One,Shimano C40,2994.5,3035,3,3,638900,Standard,15,3073,2971.5,3,2,85300,12,2971.3317020108466,3042.9933774324313
Chapter2 Rere,Shimano C40,3088,2963,3,3,355000,Standard,16,3073,2971.5,3,2,85300,12,3078.411948924392,2970.9933774324604
Parlee ESX,Shimano C40,3091.5,2959.5,3,3,603500,Standard,16,3073,2971.5,3,2,85300,12,3082.3656526280947,2967.4933774324613
Quintana Roo V-PR,Shimano C40,2998,3010,4,1,638600,TT,16,3073,2971.5,3,2,85300,12,2976.2946649738074,3017.9933774324336
Scott Foil,Shimano C40,3088,2952.5,3,3,781000,Standard,17,3073,2971.5,3,2,85300,12,3077.6989859614314,2960.4933774324586
Scott Plasma,Shimano C40,2998,3003,4,1,852000,TT,17,3073,2971.5,3,2,85300,12,2975.8193563318337,3010.993377432432
Chapter2 Toa,Shimano C40,3080,2943,3,3,426000,Standard,18,3073,2971.5,3,2,85300,12,3067.4736773194622,2950.993377432453
Colnago V3RS,Shimano C40,3094,2951.5,2,3,695800,Standard,18,3073,2971.5,3,2,85300,12,3083.248368677482,2959.4933774324577
Spec Venge,Shimano C40,3080,2963,3,3,461500,Standard,18,3073,2971.5,3,2,85300,12,3068.831702010816,2970.993377432457
Specialized Shiv Disc,Shimano C40,2986,3011,4,1,994000,TT,18,3073,2971.5,3,2,85300,12,2961.992195838011,3018.9933774324286
BMC SLR01,Shimano C40,3093.5,2947,2,3,376200,Standard,19,3073,2971.5,3,2,85300,12,3082.344047689829,2954.9933774324563
Canyon Ult CFR,Shimano C40,3092,2935,2,4,639000,Standard,19,3073,2971.5,3,2,85300,12,3079.2823192947712,2942.993377432453
Uran Nuclear,Shimano C40,3077,2949,3,3,184500,Standard,19,3073,2971.5,3,2,85300,12,3064.288492134277,2956.993377432453
Felt FR,Shimano C40,3090,2940,3,3,851900,Standard,20,3073,2971.5,3,2,85300,12,3079.245282257729,2947.9933774324572
Trek Madone,Shimano C40,3079,2952,3,3,887500,Standard,20,3073,2971.5,3,2,85300,12,3066.887257566374,2959.9933774324545
Canyon Speedmax,Shimano C40,2998,3012.5,4,1,710000,TT,21,3073,2971.5,3,2,85300,12,2976.4644180602268,3020.493377432434
BMC Road,Shimano C40,3094.5,2964,2,3,780900,Standard,21,3073,2971.5,3,2,85300,12,3084.6958995416767,2971.99337743246
Giant Propel,Shimano C40,3081.5,2954.5,3,3,816500,Standard,22,3073,2971.5,3,2,85300,12,3070.0508378132863,2962.493377432456
Liv Langma Disc,Shimano C40,3089.5,2945,3,3,745500,Standard,22,3073,2971.5,3,2,85300,12,3078.9860229984693,2952.9933774324577
Canyon Aero,Shimano C40,3081.5,2960,3,3,532500,Standard,23,3073,2971.5,3,2,85300,12,3070.4242946034087,2967.993377432457
BMC Time Machine,Shimano C40,2998,3012,4,1,781000,TT,24,3073,2971.5,3,2,85300,12,2976.4304674429427,3019.993377432434
Cervelo R5,Shimano C40,3093.5,2941.5,2,4,461500,Standard,24,3073,2971.5,3,2,85300,12,3081.519973615757,2949.493377432455
Pin Dogma 65.1,Shimano C40,3091.5,2972,4,1,923000,TT,25,3073,2971.5,3,2,85300,12,3085.6835538626547,2979.9933774324686
Cervelo S5,Shimano C40,3079,2950,3,3,603500,Standard,25,3073,2971.5,3,2,85300,12,3066.7514550972387,2957.993377432454
Canyon Speedmax CF SLX,Shimano C40,2981,3009,4,1,891000,TT,26,3073,2971.5,3,2,85300,12,2955.8687390478904,3016.993377432426
BMC TeamMach,Shimano C40,3089.5,2942.5,3,3,832900,Standard,26,3073,2971.5,3,2,85300,12,3078.81626991205,2950.4933774324572
Trek Emonda SL,Shimano C40,3094,2943,2,3,142000,Standard,26,3073,2971.5,3,2,85300,12,3082.6712081836567,2950.993377432456
Cann SystemSix,Shimano C40,3080,2964.5,3,3,497000,Standard,27,3073,2971.5,3,2,85300,12,3068.933553862668,2972.4933774324572
Cervelo S5 2020,Shimano C40,3077,2949,3,3,852000,Standard,27,3073,2971.5,3,2,85300,12,3064.288492134277,2956.993377432453
Cube Aerium,Shimano C40,2998.5,3010.5,4,1,248500,TT,28,3073,2971.5,3,2,85300,12,2976.92738102319,3018.4933774324336
Parlee RZ7,Shimano C40,3086,2961,3,3,511200,Standard,28,3073,2971.5,3,2,85300,12,3075.881084726863,2968.9933774324595
Pin Dogma F10,Shimano C40,3086,2952.5,3,2,603500,Standard,29,3073,2971.5,3,2,85300,12,3075.7545415169875,2960.493377432458
Pinarello Bolide,Shimano C40,2999,3020,3,3,958500,Standard,29,3073,2971.5,3,2,85300,12,2975.7020723812175,3027.993377432431
Spec Amira,Shimano C40,3093.5,2946,2,3,142000,Standard,31,3073,2971.5,3,2,85300,12,3082.2761464552614,2953.9933774324563
Spec Amira S-Works,Shimano C40,3093.5,2940,2,4,355000,Standard,31,3073,2971.5,3,2,85300,12,3081.418121763905,2947.9933774324545
Zwift Aero,Shimano C40,3085,2968,4,1,482800,TT,31,3073,2971.5,3,2,85300,12,3077.627998307103,2975.993377432465
Cube Lite,Shimano C40,3094,2942,2,3,177500,Standard,32,3073,2971.5,3,2,85300,12,3082.603306949089,2949.993377432456
Cube Lite C:68X,Shimano C40,3093,2936,2,4,373500,Standard,32,3073,2971.5,3,2,85300,12,3080.5477513935357,2943.993377432454
Pin Dogma F12,Shimano C40,3083,2949,3,4,1029500,Standard,32,3073,2971.5,3,2,85300,12,3071.023060035509,2956.9933774324554
Trek Speed Concept SLR 9,Shimano C40,2985.5,3042,4,1,958500,TT,32,3073,2971.5,3,2,85300,12,2963.4983686775113,3049.9933774324336
Scott Plasma RC Ultimate,Shimano C40,2983,3001,4,1,1136000,TT,33,3073,2971.5,3,2,85300,12,2957.720590899743,3008.9933774324254
Scott Addict RC,Shimano C40,3082.5,2935,3,4,852000,Standard,33,3073,2971.5,3,2,85300,12,3069.4736773194627,2942.9933774324522
Spec Venge S-Works,Shimano C40,3077,2946,3,3,798800,Standard,33,3073,2971.5,3,2,85300,12,3064.084788430574,2953.9933774324527
Felt IA 2.0,Shimano C40,2983,3001,4,1,1136000,TT,34,3073,2971.5,3,2,85300,12,2957.720590899743,3008.9933774324254
Felt AR,Shimano C40,3077,2946,3,3,639000,Standard,34,3073,2971.5,3,2,85300,12,3064.084788430574,2953.9933774324527
Spec Aethos,Shimano C40,3093,2930,2,4,923000,Standard,34,3073,2971.5,3,2,85300,12,3080.140343986129,2937.9933774324527
Diamondback Andean,Shimano C40,2998,3007.5,4,1,572900,TT,35,3073,2971.5,3,2,85300,12,2976.1249118873884,3015.493377432433
Cann SuperSix EVO,Shimano C40,3090,2940,3,4,816500,Standard,36,3073,2971.5,3,2,85300,12,3078.7946649737787,2947.993377432457
Felt IA,Shimano C40,2984,3009.5,4,1,1065000,TT,37,3073,2971.5,3,2,85300,12,2959.4952822577657,3017.493377432427
Pin Dogma F8,Shimano C40,3091,2955,3,3,710000,Standard,39,3073,2971.5,3,2,85300,12,3081.461331640441,2962.9933774324604
Zwift Buffalo,Shimano C40,3106,3065.5,1,1,9500,Standard,40,3073,2971.5,3,2,85300,12,3104.692813121901,3073.493377432481
CADEX Tri,Shimano C40,2976.5,3006.5,4,1,1029500,TT,42,3073,2971.5,3,2,85300,12,2950.310097072585,3014.493377432423
Zwift Safety,Shimano C40,3097,3006.5,2,2,3550000,Standard,44,3073,2971.5,3,2,85300,12,3091.026146455247,3014.4933774324695
Cervelo PX-Series,Shimano C40,2984.5,3010,4,1,1065000,TT,45,3073,2971.5,3,2,85300,12,2960.1279983071477,3017.993377432427
Zwift TT,Shimano C40,3016,3027,4,1,0,TT,0,3073,2971.5,3,2,85300,12,2999.0045415170043,3034.9933774324445
Pinarello Bolide TT,Zipp 808,2999,3021,3,3,0,Standard,0,3043,2970,4,1,177600,13,2945.8293574344216,3023.7639374080804
Spec Tarmac,Zipp 808,3093.5,2941,2,4,0,Standard,0,3043,2970,4,1,177600,13,3051.545406817109,2943.763937408104
Trek Emonda,Zipp 808,3093.5,2938,2,4,0,Standard,0,3043,2970,4,1,177600,13,3051.341703113406,2940.763937408103
Zwift Carbon,Zipp 808,3096,2987,2,3,0,Standard,0,3043,2970,4,1,177600,13,3058.1133080516656,2989.763937408114
Cann CAAD12,Zipp 808,3095,2970.5,2,2,184500,Standard,2,3043,2970,4,1,177600,13,3056.2460241010513,2973.263937408111
Rid Helium,Zipp 808,3094,2958,2,3,461500,Standard,3,3043,2970,4,1,177600,13,3053.7491105208082,2960.7639374081077
Spec Allez,Zipp 808,3094.5,2973.5,2,2,127800,Standard,4,3043,2970,4,1,177600,13,3055.8509623726563,2976.2639374081114
Spec Roub,Zipp 808,3094,2955,2,3,461500,Standard,5,3043,2970,4,1,177600,13,3053.5454068171052,2957.7639374081073
Spec Roub S-Works,Zipp 808,3093,2946.5,2,3,745500,Standard,5,3043,2970,4,1,177600,13,3051.7707154590826,2949.2639374081054
Spec Ruby,Zipp 808,3094,2955,2,3,461500,Standard,5,3043,2970,4,1,177600,13,3053.5454068171052,2957.7639374081073
Spec Ruby S-Works,Zipp 808,3093.5,2946.5,2,3,745500,Standard,5,3043,2970,4,1,177600,13,3052.3694808911814,2949.2639374081054
Spec Tarmac SL7,Zipp 808,3090,2958,3,3,674500,Standard,5,3043,2970,4,1,177600,13,3050.526888298584,2960.7639374081095
Chapter2 Tere,Zipp 808,3093.5,2941.5,2,4,390500,Standard,6,3043,2970,4,1,177600,13,3051.579357434393,2944.263937408104
Ribble End,Zipp 808,3087,2966,3,3,390500,Standard,7,3043,2970,4,1,177600,13,3047.477505582534,2968.76393740811
Zwift Steel,Zipp 808,3099.5,2995.5,1,2,142000,Standard,7,3043,2970,4,1,177600,13,3061.764542619567,2998.263937408113
Factor One,Zipp 808,3084.5,2966,3,3,426000,Standard,8,3043,2970,4,1,177600,13,3044.4836784220415,2968.7639374081086
Focus Izalco,Zipp 808,3082.5,2950,3,3,426000,Standard,8,3043,2970,4,1,177600,13,3041.0021969405643,2952.7639374081045
Giant TCR Disc,Zipp 808,3091,2959,2,3,305300,Standard,8,3043,2970,4,1,177600,13,3050.2244191627847,2961.763937408107
Cann EVO,Zipp 808,3093,2934.5,2,4,213000,Standard,9,3043,2970,4,1,177600,13,3050.50528336032,2937.2639374081023
Rid Noah Fast,Zipp 808,3083.5,2964.5,3,3,426000,Standard,9,3043,2970,4,1,177600,13,3043.1842957059935,2967.2639374081077
Canyon Aero 2021,Zipp 808,3079,2941,3,3,568000,Standard,10,3043,2970,4,1,177600,13,3035,2943
Canyon Ult,Zipp 808,3093,2940,2,4,461500,Standard,10,3043,2970,4,1,177600,13,3050.8787401504424,2942.763937408103
Specialized Shiv,Zipp 808,2998,3011,4,1,710000,TT,10,3043,2970,4,1,177600,13,2946.421950027011,3013.763937408083
Specialized Shiv S-Works,Zipp 808,2998,3002,4,1,852000,TT,10,3043,2970,4,1,177600,13,2945.810838915902,3004.7639374080813
Spec Tarmac Pro,Zipp 808,3093,2936,2,4,408300,Standard,11,3043,2970,4,1,177600,13,3050.6071352121717,2938.763937408103
Cann Synapse,Zipp 808,3093.5,2951,2,3,298200,Standard,12,3043,2970,4,1,177600,13,3052.675036446736,2953.7639374081064
Van Rysel EDR,Zipp 808,3094.5,2960,2,3,326600,Standard,12,3043,2970,4,1,177600,13,3054.483678422042,2962.763937408108
Cervelo S3D,Zipp 808,3083.5,2972.5,3,2,468600,Standard,13,3043,2970,4,1,177600,13,3044.178122866485,2975.2639374081095
Giant TCR,Zipp 808,3091.5,2945.5,3,3,745500,Standard,14,3043,2970,4,1,177600,13,3051.474419162783,2948.2639374081077
Spec Allez Spr,Zipp 808,3083,2953,3,3,127800,Standard,14,3043,2970,4,1,177600,13,3041.8046660763657,2955.7639374081054
Cervelo P5,Zipp 808,2991,3003.5,4,1,710000,TT,15,3043,2970,4,1,177600,13,2937.529974718374,3006.2639374080786
Bridgestn SR9s,Zipp 808,3093,2937.5,2,4,511200,Standard,15,3043,2970,4,1,177600,13,3050.708987064023,2940.263937408103
Moots Vamoots,Zipp 808,3094.5,2975,2,2,852000,Standard,15,3043,2970,4,1,177600,13,3055.9528142245076,2977.7639374081114
Mosaic RT-1d,Zipp 808,3094.5,2975,2,2,852000,Standard,15,3043,2970,4,1,177600,13,3055.9528142245076,2977.7639374081114
Ventum One,Zipp 808,2994.5,3035,3,3,638900,Standard,15,3043,2970,4,1,177600,13,2941.3910858294826,3037.7639374080804
Chapter2 Rere,Zipp 808,3088,2963,3,3,355000,Standard,16,3043,2970,4,1,177600,13,3048.471332743028,2965.7639374081095
Parlee ESX,Zipp 808,3091.5,2959.5,3,3,603500,Standard,16,3043,2970,4,1,177600,13,3052.4250364467307,2962.2639374081105
Quintana Roo V-PR,Zipp 808,2998,3010,4,1,638600,TT,16,3043,2970,4,1,177600,13,2946.3540487924433,3012.7639374080827
Scott Foil,Zipp 808,3088,2952.5,3,3,781000,Standard,17,3043,2970,4,1,177600,13,3047.7583697800674,2955.2639374081077
Scott Plasma,Zipp 808,2998,3003,4,1,852000,TT,17,3043,2970,4,1,177600,13,2945.8787401504696,3005.7639374080813
Chapter2 Toa,Zipp 808,3080,2943,3,3,426000,Standard,18,3043,2970,4,1,177600,13,3039,2945
Colnago V3RS,Zipp 808,3094,2951.5,2,3,695800,Standard,18,3043,2970,4,1,177600,13,3053.307752496118,2954.263937408107
Spec Venge,Zipp 808,3080,2963,3,3,461500,Standard,18,3043,2970,4,1,177600,13,3038.891085829452,2965.763937408106
Specialized Shiv Disc,Zipp 808,2986,3011,4,1,994000,TT,18,3043,2970,4,1,177600,13,2932.051579656647,3013.7639374080777
BMC SLR01,Zipp 808,3093.5,2947,2,3,376200,Standard,19,3043,2970,4,1,177600,13,3052.403431508465,2949.7639374081054
Canyon Ult CFR,Zipp 808,3092,2935,2,4,639000,Standard,19,3043,2970,4,1,177600,13,3049.341703113407,2937.7639374081023
Uran Nuclear,Zipp 808,3077,2949,3,3,184500,Standard,19,3043,2970,4,1,177600,13,3034.347875952913,2951.7639374081023
Felt FR,Zipp 808,3090,2940,3,3,851900,Standard,20,3043,2970,4,1,177600,13,3049.304666076365,2942.7639374081064
Trek Madone,Zipp 808,3079,2952,3,3,887500,Standard,20,3043,2970,4,1,177600,13,3036.94664138501,2954.7639374081036
Canyon Speedmax,Zipp 808,2998,3012.5,4,1,710000,TT,21,3043,2970,4,1,177600,13,2946.5238018788627,3015.263937408083
BMC Road,Zipp 808,3094.5,2964,2,3,780900,Standard,21,3043,2970,4,1,177600,13,3054.7552833603127,2966.763937408109
Giant Propel,Zipp 808,3081.5,2954.5,3,3,816500,Standard,22,3043,2970,4,1,177600,13,3040.1102216319223,2957.263937408105
Liv Langma Disc,Zipp 808,3089.5,2945,3,3,745500,Standard,22,3043,2970,4,1,177600,13,3049.0454068171052,2947.763937408107
Canyon Aero,Zipp 808,3081.5,2960,3,3,532500,Standard,23,3043,2970,4,1,177600,13,3040.4836784220447,2962.763937408106
BMC Time Machine,Zipp 808,2998,3012,4,1,781000,TT,24,3043,2970,4,1,177600,13,2946.4898512615787,3014.763937408083
Cervelo R5,Zipp 808,3093.5,2941.5,2,4,461500,Standard,24,3043,2970,4,1,177600,13,3051.579357434393,2944.263937408104
Pin Dogma 65.1,Zipp 808,3091.5,2972,4,1,923000,TT,25,3043,2970,4,1,177600,13,3055.7429376812906,2974.7639374081177
Cervelo S5,Zipp 808,3079,2950,3,3,603500,Standard,25,3043,2970,4,1,177600,13,3036.8108389158747,2952.763937408103
Canyon Speedmax CF SLX,Zipp 808,2981,3009,4,1,891000,TT,26,3043,2970,4,1,177600,13,2925.9281228665263,3011.763937408075
BMC TeamMach,Zipp 808,3089.5,2942.5,3,3,832900,Standard,26,3043,2970,4,1,177600,13,3048.875653730686,2945.2639374081064
Trek Emonda SL,Zipp 808,3094,2943,2,3,142000,Standard,26,3043,2970,4,1,177600,13,3052.7305920022927,2945.763937408105
Cann SystemSix,Zipp 808,3080,2964.5,3,3,497000,Standard,27,3043,2970,4,1,177600,13,3038.9929376813034,2967.2639374081064
Cervelo S5 2020,Zipp 808,3077,2949,3,3,852000,Standard,27,3043,2970,4,1,177600,13,3034.347875952913,2951.7639374081023
Cube Aerium,Zipp 808,2998.5,3010.5,4,1,248500,TT,28,3043,2970,4,1,177600,13,2946.986764841826,3013.2639374080827
Parlee RZ7,Zipp 808,3086,2961,3,3,511200,Standard,28,3043,2970,4,1,177600,13,3045.940468545499,2963.7639374081086
Pin Dogma F10,Zipp 808,3086,2952.5,3,2,603500,Standard,29,3043,2970,4,1,177600,13,3045.8139253356235,2955.2639374081073
Pinarello Bolide,Zipp 808,2999,3020,3,3,958500,Standard,29,3043,2970,4,1,177600,13,2945.7614561998535,3022.76393740808
Spec Amira,Zipp 808,3093.5,2946,2,3,142000,Standard,31,3043,2970,4,1,177600,13,3052.3355302738973,2948.7639374081054
Spec Amira S-Works,Zipp 808,3093.5,2940,2,4,355000,Standard,31,3043,2970,4,1,177600,13,3051.477505582541,2942.763937408103
Zwift Aero,Zipp 808,3085,2968,4,1,482800,TT,31,3043,2970,4,1,177600,13,3047.687382125739,2970.763937408114
Cube Lite,Zipp 808,3094,2942,2,3,177500,Standard,32,3043,2970,4,1,177600,13,3052.662690767725,2944.763937408105
Cube Lite C:68X,Zipp 808,3093,2936,2,4,373500,Standard,32,3043,2970,4,1,177600,13,3050.6071352121717,2938.763937408103
Pin Dogma F12,Zipp 808,3083,2949,3,4,1029500,Standard,32,3043,2970,4,1,177600,13,3041.082443854145,2951.7639374081045
Trek Speed Concept SLR 9,Zipp 808,2985.5,3042,4,1,958500,TT,32,3043,2970,4,1,177600,13,2933.5577524961473,3044.7639374080827
Scott Plasma RC Ultimate,Zipp 808,2983,3001,4,1,1136000,TT,33,3043,2970,4,1,177600,13,2927.779974718379,3003.7639374080745
Scott Addict RC,Zipp 808,3082.5,2935,3,4,852000,Standard,33,3043,2970,4,1,177600,13,3038.5,2937
Spec Venge S-Works,Zipp 808,3077,2946,3,3,798800,Standard,33,3043,2970,4,1,177600,13,3033,2948
Felt IA 2.0,Zipp 808,2983,3001,4,1,1136000,TT,34,3043,2970,4,1,177600,13,2927.779974718379,3003.7639374080745
Felt AR,Zipp 808,3077,2946,3,3,639000,Standard,34,3043,2970,4,1,177600,13,3034.14417224921,2948.763937408102
Spec Aethos,Zipp 808,3093,2930,2,4,923000,Standard,34,3043,2970,4,1,177600,13,3049,2932
Diamondback Andean,Zipp 808,2998,3007.5,4,1,572900,TT,35,3043,2970,4,1,177600,13,2946.1842957060244,3010.2639374080823
Cann SuperSix EVO,Zipp 808,3090,2940,3,4,816500,Standard,36,3043,2970,4,1,177600,13,3048.8540487924147,2942.763937408106
Felt IA,Zipp 808,2984,3009.5,4,1,1065000,TT,37,3043,2970,4,1,177600,13,2929.5546660764016,3012.2639374080763
Pin Dogma F8,Zipp 808,3091,2955,3,3,710000,Standard,39,3043,2970,4,1,177600,13,3051.520715459077,2957.7639374081095
Zwift Buffalo,Zipp 808,3106,3065.5,1,1,9500,Standard,40,3043,2970,4,1,177600,13,3074.752196940537,3068.2639374081296
CADEX Tri,Zipp 808,2976.5,3006.5,4,1,1029500,TT,42,3043,2970,4,1,177600,13,2920.369480891221,3009.2639374080723
Zwift Safety,Zipp 808,3097,3006.5,2,2,3550000,Standard,44,3043,2970,4,1,177600,13,3061.085530273883,3009.2639374081186
Cervelo PX-Series,Zipp 808,2984.5,3010,4,1,1065000,TT,45,3043,2970,4,1,177600,13,2930.1873821257836,3012.7639374080763
Zwift TT,Zipp 808,3016,3027,4,1,0,TT,0,3043,2970,4,1,177600,13,2969.0639253356403,3029.7639374080936
Pinarello Bolide TT,Roval Rapide,2999,3021,3,3,0,Standard,0,3055,2963,3,3,195300,14,2957.144263100755,3017.095847439923
Spec Tarmac,Roval Rapide,3093.5,2941,2,4,0,Standard,0,3055,2963,3,3,195300,14,3062.8603124834426,2937.0958474399463
Trek Emonda,Roval Rapide,3093.5,2938,2,4,0,Standard,0,3055,2963,3,3,195300,14,3062.6566087797396,2934.0958474399454
Zwift Carbon,Roval Rapide,3096,2987,2,3,0,Standard,0,3055,2963,3,3,195300,14,3069.4282137179994,2983.0958474399567
Cann CAAD12,Roval Rapide,3095,2970.5,2,2,184500,Standard,2,3055,2963,3,3,195300,14,3067.560929767385,2966.5958474399536
Rid Helium,Roval Rapide,3094,2958,2,3,461500,Standard,3,3055,2963,3,3,195300,14,3065.064016187142,2954.0958474399504
Spec Allez,Roval Rapide,3094.5,2973.5,2,2,127800,Standard,4,3055,2963,3,3,195300,14,3067.16586803899,2969.595847439954
Spec Roub,Roval Rapide,3094,2955,2,3,461500,Standard,5,3055,2963,3,3,195300,14,3064.860312483439,2951.0958474399495
Spec Roub S-Works,Roval Rapide,3093,2946.5,2,3,745500,Standard,5,3055,2963,3,3,195300,14,3063.0856211254163,2942.5958474399476
Spec Ruby,Roval Rapide,3094,2955,2,3,461500,Standard,5,3055,2963,3,3,195300,14,3064.860312483439,2951.0958474399495
Spec Ruby S-Works,Roval Rapide,3093.5,2946.5,2,3,745500,Standard,5,3055,2963,3,3,195300,14,3063.684386557515,2942.5958474399476
Spec Tarmac SL7,Roval Rapide,3090,2958,3,3,674500,Standard,5,3055,2963,3,3,195300,14,3061.8417939649175,2954.095847439952
Chapter2 Tere,Roval Rapide,3093.5,2941.5,2,4,390500,Standard,6,3055,2963,3,3,195300,14,3062.8942631007267,2937.5958474399463
Ribble End,Roval Rapide,3087,2966,3,3,390500,Standard,7,3055,2963,3,3,195300,14,3058.7924112488677,2962.0958474399526
Zwift Steel,Roval Rapide,3099.5,2995.5,1,2,142000,Standard,7,3055,2963,3,3,195300,14,3073.0794482859005,2991.595847439956
Factor One,Roval Rapide,3084.5,2966,3,3,426000,Standard,8,3055,2963,3,3,195300,14,3055.7985840883753,2962.0958474399513
Focus Izalco,Roval Rapide,3082.5,2950,3,3,426000,Standard,8,3055,2963,3,3,195300,14,3052.317102606898,2946.095847439947
Giant TCR Disc,Roval Rapide,3091,2959,2,3,305300,Standard,8,3055,2963,3,3,195300,14,3061.5393248291184,2955.0958474399495
Cann EVO,Roval Rapide,3093,2934.5,2,4,213000,Standard,9,3055,2963,3,3,195300,14,3061.8201890266537,2930.595847439945
Rid Noah Fast,Roval Rapide,3083.5,2964.5,3,3,426000,Standard,9,3055,2963,3,3,195300,14,3054.4992013723268,2960.5958474399504
Canyon Aero 2021,Roval Rapide,3079,2941,3,3,568000,Standard,10,3055,2963,3,3,195300,14,3047.514633471099,2937.0958474399445
Canyon Ult,Roval Rapide,3093,2940,2,4,461500,Standard,10,3055,2963,3,3,195300,14,3062.193645816776,2936.095847439946
Specialized Shiv,Roval Rapide,2998,3011,4,1,710000,TT,10,3055,2963,3,3,195300,14,2957.7368556933448,3007.095847439926
Specialized Shiv S-Works,Roval Rapide,2998,3002,4,1,852000,TT,10,3055,2963,3,3,195300,14,2957.1257445822357,2998.095847439924
Spec Tarmac Pro,Roval Rapide,3093,2936,2,4,408300,Standard,11,3055,2963,3,3,195300,14,3061.9220408785054,2932.0958474399454
Cann Synapse,Roval Rapide,3093.5,2951,2,3,298200,Standard,12,3055,2963,3,3,195300,14,3063.98994211307,2947.0958474399486
Van Rysel EDR,Roval Rapide,3094.5,2960,2,3,326600,Standard,12,3055,2963,3,3,195300,14,3065.7985840883757,2956.0958474399504
Cervelo S3D,Roval Rapide,3083.5,2972.5,3,2,468600,Standard,13,3055,2963,3,3,195300,14,3055.4930285328187,2968.595847439952
Giant TCR,Roval Rapide,3091.5,2945.5,3,3,745500,Standard,14,3055,2963,3,3,195300,14,3062.7893248291166,2941.5958474399504
Spec Allez Spr,Roval Rapide,3083,2953,3,3,127800,Standard,14,3055,2963,3,3,195300,14,3053.1195717426995,2949.095847439948
Cervelo P5,Roval Rapide,2991,3003.5,4,1,710000,TT,15,3055,2963,3,3,195300,14,2948.8448803847077,2999.5958474399213
Bridgestn SR9s,Roval Rapide,3093,2937.5,2,4,511200,Standard,15,3055,2963,3,3,195300,14,3062.0238927303567,2933.5958474399454
Moots Vamoots,Roval Rapide,3094.5,2975,2,2,852000,Standard,15,3055,2963,3,3,195300,14,3067.2677198908414,2971.095847439954
Mosaic RT-1d,Roval Rapide,3094.5,2975,2,2,852000,Standard,15,3055,2963,3,3,195300,14,3067.2677198908414,2971.095847439954
Ventum One,Roval Rapide,2994.5,3035,3,3,638900,Standard,15,3055,2963,3,3,195300,14,2952.7059914958163,3031.095847439923
Chapter2 Rere,Roval Rapide,3088,2963,3,3,355000,Standard,16,3055,2963,3,3,195300,14,3059.786238409362,2959.095847439952
Parlee ESX,Roval Rapide,3091.5,2959.5,3,3,603500,Standard,16,3055,2963,3,3,195300,14,3063.7399421130644,2955.595847439953
Quintana Roo V-PR,Roval Rapide,2998,3010,4,1,638600,TT,16,3055,2963,3,3,195300,14,2957.668954458777,3006.0958474399254
Scott Foil,Roval Rapide,3088,2952.5,3,3,781000,Standard,17,3055,2963,3,3,195300,14,3059.073275446401,2948.5958474399504
Scott Plasma,Roval Rapide,2998,3003,4,1,852000,TT,17,3055,2963,3,3,195300,14,2957.1936458168034,2999.095847439924
Chapter2 Toa,Roval Rapide,3080,2943,3,3,426000,Standard,18,3055,2963,3,3,195300,14,3048.847966804432,2939.095847439945
Colnago V3RS,Roval Rapide,3094,2951.5,2,3,695800,Standard,18,3055,2963,3,3,195300,14,3064.622658162452,2947.5958474399495
Spec Venge,Roval Rapide,3080,2963,3,3,461500,Standard,18,3055,2963,3,3,195300,14,3050.205991495786,2959.0958474399486
Specialized Shiv Disc,Roval Rapide,2986,3011,4,1,994000,TT,18,3055,2963,3,3,195300,14,2943.3664853229807,3007.0958474399204
BMC SLR01,Roval Rapide,3093.5,2947,2,3,376200,Standard,19,3055,2963,3,3,195300,14,3063.7183371747988,2943.0958474399476
Canyon Ult CFR,Roval Rapide,3092,2935,2,4,639000,Standard,19,3055,2963,3,3,195300,14,3060.656608779741,2931.0958474399445
Uran Nuclear,Roval Rapide,3077,2949,3,3,184500,Standard,19,3055,2963,3,3,195300,14,3045.6627816192467,2945.095847439945
Felt FR,Roval Rapide,3090,2940,3,3,851900,Standard,20,3055,2963,3,3,195300,14,3060.6195717426986,2936.095847439949
